Actor,Target,Time
1,2,584
1,3,755
4,5,1630
4,6,1677
7,5,253
7,4,265
7,4,271
7,8,275
7,4,276
7,8,277
7,4,310
7,8,314
7,4,326
7,9,340
7,10,377
7,11,385
7,10,485
7,12,479
7,13,491
7,11,493
7,13,501
7,9,510
7,14,527
7,15,562
7,16,693
7,17,768
7,18,818
7,17,841
7,19,1405
7,15,1410
7,20,1660
7,19,1649
8,1,210
8,1,235
8,7,267
8,20,549
8,14,596
8,21,623
8,5,668
8,21,1083
8,5,1094
8,4,277
8,4,1773
22,8,127
22,21,141
22,7,322
22,8,352
22,1,376
22,1,845
22,1,1411
21,23,867
21,24,990
21,12,1043
21,24,1049
21,9,1125
21,15,1200
21,25,1233
21,16,1256
21,5,1306
21,17,1309
21,5,1312
21,5,1529
14,12,105
14,23,120
14,26,125
14,10,356
14,10,358
14,2,414
14,15,427
14,23,523
14,9,576
14,12,614
14,21,616
14,11,629
14,11,736
14,10,779
14,12,850
14,12,906
14,24,931
14,27,966
14,6,1072
14,28,1089
14,2,1091
14,2,1089
14,28,1112
14,29,1142
14,30,1270
14,5,1288
14,23,1289
14,17,1293
14,24,1300
14,31,1502
14,27,1527
14,32,1553
14,33,1567
14,25,1632
14,33,1648
14,23,1654
14,33,1734
14,34,1750
14,33,1730
14,27,1758
14,15,1764
14,31,1766
14,35,1771
14,36,1775
12,21,131
12,11,138
12,21,501
12,21,636
12,14,639
12,14,825
12,21,831
12,23,991
12,24,1040
12,14,1064
12,9,1555
12,8,1755
11,37,242
11,14,309
11,21,312
11,12,314
11,38,335
11,39,336
11,14,339
11,10,619
11,10,649
11,23,943
11,13,970
11,37,973
11,13,976
11,37,1006
11,23,1192
11,9,1504
11,9,1509
11,13,1758
37,10,128
37,22,138
37,10,149
37,8,167
37,38,845
37,11,853
37,39,866
37,10,888
37,10,926
37,13,1580
37,10,1627
38,11,336
30,5,190
30,5,212
30,8,223
30,8,225
30,5,233
30,28,404
30,28,410
30,22,761
30,6,853
30,27,1016
30,14,1034
30,21,1049
30,40,1070
30,19,1080
30,15,1158
30,16,1159
30,15,1164
30,2,1190
30,16,1208
30,15,1228
30,16,1230
30,6,1257
30,6,1305
30,15,1314
30,16,1321
30,20,1323
30,25,1351
30,15,1361
30,40,1364
30,20,1365
30,41,1378
30,7,1380
30,18,1394
30,6,1496
30,5,1679
10,39,58
10,14,72
10,14,222
10,14,338
10,37,888
10,9,1602
10,7,1749
5,30,133
5,28,166
5,25,178
5,30,191
5,28,200
5,30,212
5,4,252
5,21,263
5,12,270
5,9,344
5,6,362
5,28,453
5,28,489
5,8,522
5,7,549
5,4,641
28,25,615
28,25,626
28,22,692
28,2,935
28,1,1350
25,16,291
25,17,294
25,16,296
25,41,307
25,42,310
25,43,339
25,42,360
25,40,367
25,36,402
25,42,501
25,16,514
25,44,537
25,44,557
25,45,572
25,8,733
25,6,861
25,19,879
25,15,895
25,19,904
25,15,1141
25,15,1168
25,30,1184
25,44,1207
25,20,1239
25,46,1247
25,27,1248
25,16,1277
25,24,1295
47,41,13
47,16,20
47,42,33
47,42,47
47,29,114
47,16,141
47,42,148
47,29,202
47,16,216
47,42,237
47,18,250
47,43,292
47,18,303
47,42,323
47,48,491
47,34,628
29,47,28
29,49,1167
29,49,1393
6,7,1
6,2,124
6,19,127
6,2,131
6,19,137
6,2,139
6,5,361
6,8,466
6,20,701
6,8,711
6,8,717
6,20,720
6,5,721
6,20,728
6,4,731
6,1,750
19,20,517
19,25,899
19,15,901
19,17,909
19,15,914
19,7,917
19,15,922
19,44,974
19,25,980
19,20,1012
19,30,1081
19,20,1153
19,31,1156
19,50,1158
19,20,1174
19,50,1176
2,8,145
2,7,155
2,7,162
2,20,197
2,51,208
2,36,211
2,46,230
2,32,239
2,41,261
2,15,263
2,20,268
2,5,297
2,20,302
2,51,324
2,14,407
2,9,409
2,21,428
2,1,450
2,29,623
2,28,994
2,14,1111
2,28,1281
2,29,1395
2,18,1505
2,52,1511
2,27,1543
2,52,1546
2,27,1603
2,18,1608
9,45,156
9,23,169
9,14,175
9,23,175
9,21,178
9,23,180
9,14,181
9,26,182
9,23,182
9,7,201
9,22,212
9,4,288
9,22,327
9,21,361
9,2,372
9,15,432
9,53,461
9,31,473
9,26,492
9,13,506
9,10,507
9,26,508
9,13,510
9,10,512
9,13,550
9,10,552
9,14,553
9,7,555
9,14,556
9,14,569
9,14,606
9,31,810
9,20,847
9,53,854
9,20,862
9,31,865
9,53,869
9,36,920
9,54,921
9,31,921
9,55,922
9,35,924
9,31,927
9,46,939
9,36,940
9,36,964
9,46,966
9,36,970
9,46,970
9,20,984
9,35,1033
9,20,1051
9,55,1057
9,26,1065
9,39,1066
9,11,1069
9,23,1075
9,12,1082
9,7,1096
9,21,1099
9,4,1125
9,22,1228
9,12,1281
9,37,1319
9,37,1345
9,11,1357
9,11,1382
9,13,1536
9,26,1536
9,38,1540
9,37,1562
9,13,1571
9,26,1579
9,12,1581
9,13,1586
9,26,1587
9,27,1595
9,36,1606
9,31,1608
9,36,1609
9,14,1612
9,25,1616
9,15,1620
9,20,1630
9,51,1633
9,45,1636
9,48,1641
9,56,1783
9,57,1784
26,27,71
26,14,170
26,14,239
26,14,242
26,14,357
26,10,364
26,16,376
26,9,510
26,10,517
26,9,519
26,23,527
26,14,529
26,23,533
26,39,539
26,23,547
26,39,553
26,39,804
26,36,810
26,36,820
26,36,865
26,36,912
26,50,920
26,50,927
26,27,935
26,50,940
26,27,941
26,13,952
26,13,966
26,10,1004
26,13,1045
26,38,1143
26,13,1146
26,38,1354
26,13,1377
26,38,1382
26,13,1403
26,13,1408
26,13,1465
26,13,1517
26,31,1571
26,10,1574
26,9,1590
26,31,1591
26,37,1606
26,10,1660
26,25,1694
26,14,1697
26,15,1701
26,50,1708
26,48,1713
26,51,1726
26,42,1732
26,51,1735
26,19,1738
26,48,1747
26,48,1755
26,48,1772
26,31,1784
23,31,11
23,15,72
23,26,192
23,15,197
23,54,207
23,31,211
23,54,215
23,46,216
23,31,223
23,54,228
23,46,230
23,31,233
23,10,235
23,15,240
23,15,252
23,54,256
23,15,257
23,46,257
23,54,264
23,46,265
23,24,267
23,15,272
23,31,300
23,31,306
23,54,306
23,31,345
23,31,358
23,26,367
23,2,389
23,46,407
23,54,411
23,31,447
23,26,522
23,9,524
23,13,546
23,9,547
23,31,563
23,36,805
23,10,821
23,13,891
23,13,904
23,10,904
23,11,928
23,24,935
23,11,950
23,21,968
23,12,971
23,21,974
23,11,1090
23,13,1107
23,19,1136
23,19,1177
23,11,1178
23,13,1195
23,11,1202
23,10,1224
23,26,1229
23,26,1249
23,10,1320
23,13,1322
23,10,1322
23,13,1326
23,26,1339
23,31,1347
23,27,1362
23,35,1397
23,8,1434
23,32,1526
23,27,1534
23,14,1534
23,55,1542
23,33,1563
23,14,1566
23,33,1569
23,55,1673
23,33,1679
23,32,1687
23,33,1708
23,10,1751
23,27,1757
23,35,1774
45,2,4
45,20,222
45,51,244
45,15,264
45,16,511
45,51,556
45,40,564
45,40,750
45,42,815
45,42,837
45,31,955
45,20,961
45,58,1214
45,20,1218
45,42,1221
45,36,1225
45,42,1424
45,59,1424
45,53,1427
45,42,1444
45,56,1447
45,42,1454
