Sender_Email,Receiver_Email,time_layer
1,2,187320
1,3,187077
1,4,181165
1,4,181164
1,5,182006
1,6,181767
1,3,181648
1,3,181432
1,3,181303
1,3,180517
1,2,179825
1,2,179154
1,3,186864
1,2,178667
1,2,175546
1,2,187310
1,7,187142
1,3,187065
1,3,186854
1,3,186539
1,2,186539
1,3,186394
1,3,186134
1,3,185650
1,3,187201
1,2,185149
1,8,184886
1,3,184622
1,3,184021
1,9,183879
1,7,187152
1,5,182631
1,2,182531
1,5,182006
1,6,181767
1,3,181648
1,3,181432
1,3,181303
1,3,180517
1,2,179825
1,2,179154
1,2,178667
1,2,175546
1,2,187310
1,3,187189
1,7,187142
1,3,187065
1,3,186854
1,3,186539
1,2,186539
1,3,186394
1,3,186134
1,3,185650
2,1,183462
1,2,185149
1,8,184886
1,3,184622
1,3,184021
1,9,183879
1,5,182631
1,2,182531
1,4,181165
1,4,181164
1,3,181432
1,3,181648
1,6,181767
1,5,182006
1,2,182531
1,5,182631
2,1,183462
1,9,183879
1,3,184021
1,3,184622
1,8,184886
1,3,185650
1,3,186134
1,3,186394
1,2,186539
1,3,186539
1,2,178667
1,3,186854
1,7,187142
1,2,187310
1,2,179154
1,3,175546
1,3,180517
10,11,192858
10,2,192766
2,1,183462
1,2,187320
1,3,187201
1,7,187152
1,3,187077
1,3,186864
1,3,181303
1,3,180517
1,2,179825
1,2,179154
1,2,178667
1,2,175546
1,2,187310
1,3,187189
1,7,187142
1,3,187065
1,3,186854
1,3,186539
1,2,186539
1,5,182631
1,3,186394
1,3,186134
1,2,182531
1,3,185650
1,2,185149
1,8,184886
1,3,184622
1,3,184021
1,9,183879
1,5,182006
1,4,181165
1,4,181164
1,6,181767
1,3,181648
1,3,181432
3,1,187025
3,1,187025
10,2,192766
10,11,192858
12,13,187390
3,1,187501
3,1,187501
3,1,187511
3,1,187501
8,10,184338
8,14,184338
8,15,184209
8,5,184137
8,3,184137
8,14,184137
8,14,184050
8,14,184050
8,16,183803
8,17,183803
8,18,183803
8,14,183715
8,5,183714
8,3,183714
8,10,183714
8,14,183709
8,5,182536
8,3,182536
8,11,182327
8,19,182327
8,14,182327
8,16,182327
8,5,182324
8,3,182324
8,20,182154
8,10,183522
8,21,181940
8,5,181819
8,3,181819
8,14,181675
8,5,181456
8,3,181456
8,21,181315
8,5,181091
8,3,181091
8,17,181091
8,5,181091
8,3,181091
8,22,181026
8,20,180973
8,10,180973
8,14,180954
8,5,180922
8,14,180783
8,23,180687
8,14,180665
8,20,180641
8,14,180637
8,5,180283
8,3,180283
8,14,180283
8,5,183306
8,3,183306
8,10,183306
8,14,180164
8,24,180164
8,23,179852
8,11,179827
8,5,179803
8,3,179803
8,14,179803
8,14,179685
8,5,179684
8,5,179636
8,3,179636
8,22,179611
8,25,179610
8,14,179505
8,5,179154
8,5,179083
8,3,179083
8,10,179082
8,16,179078
8,5,179009
8,14,178814
8,5,178674
8,3,178674
8,25,178434
8,17,178434
8,5,178434
8,5,178432
8,3,178432
8,5,183281
8,10,183281
8,14,183281
8,20,178412
8,10,178404
8,26,178143
8,21,178096
8,3,183280
8,21,177931
8,21,177903
8,3,177763
8,14,177491
8,27,177088
8,14,177088
8,14,177088
8,18,177088
8,5,177088
8,25,177087
8,25,177081
8,10,183277
8,14,176961
8,17,183275
8,18,176751
8,14,176751
8,14,176749
8,28,176630
8,15,183274
8,18,176106
8,14,176106
8,29,175722
8,20,175713
8,30,175594
8,31,175551
8,10,175481
8,8,175287
8,19,175066
