Datetime,Sender_Email,Receiver_Email
 14 May 2001 16:39:00,1,2
 4 May 2001 13:51:00,1,3
 31 Aug 2000 05:07:00,1,4
 31 Aug 2000 04:17:00,1,4
 5 Oct 2000 06:26:00,1,5
 25 Sep 2000 07:04:00,1,6
 20 Sep 2000 08:06:00,1,3
 11 Sep 2000 08:07:00,1,3
 5 Sep 2000 23:22:00,1,3
 4 Aug 2000 05:43:00,1,3
 6 Jul 2000 09:38:00,1,2
 8 Jun 2000 10:17:00,1,2
 25 Apr 2001 16:52:00,1,3
 19 May 2000 03:46:00,1,2
 10 Jan 2000 02:29:00,1,2
 14 May 2001 06:39:00,1,2
 7 May 2001 06:23:00,1,7
 4 May 2001 01:51:00,1,3
 25 Apr 2001 06:52:00,1,3
 12 Apr 2001 03:34:00,1,3
 12 Apr 2001 03:09:00,1,2
 6 Apr 2001 02:40:00,1,3
 26 Mar 2001 06:52:00,1,3
 6 Mar 2001 02:45:00,1,3
 9 May 2001 17:13:00,1,3
 13 Feb 2001 05:45:00,1,2
 2 Feb 2001 06:59:00,1,8
 22 Jan 2001 06:06:00,1,3
 28 Dec 2000 05:19:00,1,3
 22 Dec 2000 07:06:00,1,9
 7 May 2001 16:23:00,1,7
 31 Oct 2000 07:00:00,1,5
 27 Oct 2000 03:30:00,1,2
 5 Oct 2000 06:26:00,1,5
 25 Sep 2000 07:04:00,1,6
 20 Sep 2000 08:06:00,1,3
 11 Sep 2000 08:07:00,1,3
 5 Sep 2000 23:22:00,1,3
 4 Aug 2000 05:43:00,1,3
 31 Dec 1979 16:00:00,1,3
 6 Jul 2000 09:38:00,1,2
 8 Jun 2000 10:17:00,1,2
 19 May 2000 03:46:00,1,2
 10 Jan 2000 02:29:00,1,2
 14 May 2001 06:39:00,1,2
 9 May 2001 05:13:00,1,3
 7 May 2001 06:23:00,1,7
 4 May 2001 01:51:00,1,3
 25 Apr 2001 06:52:00,1,3
 12 Apr 2001 03:34:00,1,3
 12 Apr 2001 03:09:00,1,2
 6 Apr 2001 02:40:00,1,3
 26 Mar 2001 06:52:00,1,3
 6 Mar 2001 02:45:00,1,3
 4 Dec 2000 22:42:00,2,1
 13 Feb 2001 05:45:00,1,2
 2 Feb 2001 06:59:00,1,8
 22 Jan 2001 06:06:00,1,3
 28 Dec 2000 05:19:00,1,3
 22 Dec 2000 07:06:00,1,9
 31 Oct 2000 07:00:00,1,5
 27 Oct 2000 03:30:00,1,2
 31 Aug 2000 05:07:00,1,4
 31 Aug 2000 04:17:00,1,4
 11 Sep 2000 08:07:00,1,3
 20 Sep 2000 08:06:00,1,3
 25 Sep 2000 07:04:00,1,6
 5 Oct 2000 06:26:00,1,5
 27 Oct 2000 03:30:00,1,2
 31 Oct 2000 07:00:00,1,5
 4 Dec 2000 22:42:00,2,1
 22 Dec 2000 07:06:00,1,9
 28 Dec 2000 05:19:00,1,3
 22 Jan 2001 06:06:00,1,3
 2 Feb 2001 06:59:00,1,8
 6 Mar 2001 02:45:00,1,3
 26 Mar 2001 06:52:00,1,3
 6 Apr 2001 02:40:00,1,3
 12 Apr 2001 03:09:00,1,2
 12 Apr 2001 03:34:00,1,3
 19 May 2000 03:46:00,1,2
 25 Apr 2001 06:52:00,1,3
 7 May 2001 06:23:00,1,7
 14 May 2001 06:39:00,1,2
 8 Jun 2000 10:17:00,1,2
 10 Jan 2000 02:25:00,1,3
 31 Dec 1979 16:00:00,1,3
 4 Aug 2000 05:43:00,1,3
 31 Dec 2001 10:53:43,10,11
 27 Dec 2001 14:58:02,10,2
 4 Dec 2000 22:42:00,2,1
 14 May 2001 16:39:00,1,2
 9 May 2001 17:13:00,1,3
 7 May 2001 16:23:00,1,7
 4 May 2001 13:51:00,1,3
 25 Apr 2001 16:52:00,1,3
 5 Sep 2000 23:22:00,1,3
 4 Aug 2000 05:43:00,1,3
 6 Jul 2000 09:38:00,1,2
 8 Jun 2000 10:17:00,1,2
 19 May 2000 03:46:00,1,2
 10 Jan 2000 02:29:00,1,2
 14 May 2001 06:39:00,1,2
 9 May 2001 05:13:00,1,3
 7 May 2001 06:23:00,1,7
 4 May 2001 01:51:00,1,3
 25 Apr 2001 06:52:00,1,3
 12 Apr 2001 03:34:00,1,3
 12 Apr 2001 03:09:00,1,2
 31 Oct 2000 07:00:00,1,5
 6 Apr 2001 02:40:00,1,3
 26 Mar 2001 06:52:00,1,3
 27 Oct 2000 03:30:00,1,2
 6 Mar 2001 02:45:00,1,3
 13 Feb 2001 05:45:00,1,2
 2 Feb 2001 06:59:00,1,8
 22 Jan 2001 06:06:00,1,3
 28 Dec 2000 05:19:00,1,3
 22 Dec 2000 07:06:00,1,9
 5 Oct 2000 06:26:00,1,5
 31 Aug 2000 05:07:00,1,4
 31 Aug 2000 04:17:00,1,4
 25 Sep 2000 07:04:00,1,6
 20 Sep 2000 08:06:00,1,3
 11 Sep 2000 08:07:00,1,3
 2 May 2001 09:29:00,3,1
 2 May 2001 09:29:00,3,1
 27 Dec 2001 14:58:02,10,2
 31 Dec 2001 10:53:43,10,11
 17 May 2001 14:34:43,12,13
 22 May 2001 05:53:00,3,1
 22 May 2001 05:53:00,3,1
 22 May 2001 15:53:00,3,1
 22 May 2001 05:53:00,3,1
 10 Jan 2001 10:08:00,8,10
 10 Jan 2001 10:08:00,8,14
 5 Jan 2001 01:27:00,8,15
 2 Jan 2001 01:55:00,8,5
 2 Jan 2001 01:55:00,8,3
 2 Jan 2001 01:55:00,8,14
 29 Dec 2000 10:05:00,8,14
 29 Dec 2000 10:02:00,8,14
 19 Dec 2000 03:22:00,8,16
 19 Dec 2000 03:22:00,8,17
 19 Dec 2000 03:22:00,8,18
 15 Dec 2000 11:28:00,8,14
 15 Dec 2000 10:55:00,8,5
 15 Dec 2000 10:55:00,8,3
 15 Dec 2000 10:55:00,8,10
 15 Dec 2000 05:31:00,8,14
 27 Oct 2000 08:30:00,8,5
 27 Oct 2000 08:30:00,8,3
 18 Oct 2000 15:52:00,8,11
 18 Oct 2000 15:39:00,8,19
 18 Oct 2000 15:31:00,8,14
 18 Oct 2000 15:02:00,8,16
 18 Oct 2000 12:20:00,8,5
 18 Oct 2000 12:20:00,8,3
 11 Oct 2000 10:07:00,8,20
 7 Dec 2000 10:43:00,8,10
 2 Oct 2000 12:13:00,8,21
 27 Sep 2000 11:52:00,8,5
 27 Sep 2000 11:52:00,8,3
 21 Sep 2000 11:04:00,8,14
 12 Sep 2000 08:35:00,8,5
 12 Sep 2000 08:35:00,8,3
 6 Sep 2000 11:34:00,8,21
 28 Aug 2000 03:42:00,8,5
 28 Aug 2000 03:42:00,8,3
 28 Aug 2000 03:07:00,8,17
 28 Aug 2000 03:07:00,8,5
 28 Aug 2000 03:07:00,8,3
 25 Aug 2000 10:48:00,8,22
 23 Aug 2000 05:50:00,8,20
 23 Aug 2000 05:46:00,8,10
 22 Aug 2000 10:13:00,8,14
 21 Aug 2000 02:25:00,8,5
 15 Aug 2000 07:02:00,8,14
 11 Aug 2000 07:25:00,8,23
 10 Aug 2000 09:17:00,8,14
 9 Aug 2000 09:03:00,8,20
 9 Aug 2000 05:42:00,8,14
 25 Jul 2000 11:03:00,8,5
 25 Jul 2000 11:03:00,8,3
 25 Jul 2000 11:03:00,8,14
 28 Nov 2000 10:56:00,8,5
 28 Nov 2000 10:56:00,8,3
 28 Nov 2000 10:56:00,8,10
 20 Jul 2000 12:04:00,8,14
 20 Jul 2000 12:04:00,8,24
